('Total Revenue', '254,190,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         398126 function calls (394604 primitive calls) in 1.344 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      317    0.939    0.003    0.939    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.067    0.067    0.067    0.067 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.062    0.062    0.062    0.062 {method 'connect' of '_socket.socket' objects}
        1    0.017    0.017    0.017    0.017 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      274    0.017    0.000    0.017    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     2710    0.016    0.000    0.081    0.000 /usr/lib/python3.12/html/parser.py:301(parse_starttag)
    22402    0.013    0.000    0.013    0.000 {method 'match' of 're.Pattern' objects}
        2    0.012    0.006    0.135    0.068 /usr/lib/python3.12/html/parser.py:134(goahead)
     2592    0.006    0.000    0.009    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/builder/__init__.py:295(_replace_cdata_list_attribute_values)
    188/4    0.005    0.000    0.041    0.010 {built-in method builtins.exec}
     8087    0.005    0.000    0.005    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/element.py:156(setup)
     5658    0.005    0.000    0.020    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/__init__.py:586(endData)
     2710    0.005    0.000    0.034    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/__init__.py:722(handle_starttag)
     2566    0.005    0.000    0.027    0.000 /usr/lib/python3.12/html/parser.py:379(parse_endtag)
41607/41587    0.004    0.000    0.005    0.000 {built-in method builtins.isinstance}
     2711    0.004    0.000    0.016    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/element.py:1199(__init__)
     2710    0.004    0.000    0.040    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:105(handle_starttag)
       98    0.004    0.000    0.004    0.000 {built-in method marshal.loads}
      276    0.004    0.000    0.976    0.004 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/httpcore/_sync/http11.py:209(_receive_event)
    13635    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
     8111    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     2709    0.003    0.000    0.006    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/__init__.py:688(_popToTag)
