('Total Revenue', '254,190,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         327008 function calls (325501 primitive calls) in 1.452 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      325    0.948    0.003    0.948    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.234    0.234    0.234    0.234 {built-in method _socket.getaddrinfo}
        1    0.039    0.039    0.039    0.039 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.034    0.034    0.034    0.034 {method 'connect' of '_socket.socket' objects}
       42    0.020    0.000    0.020    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     2662    0.016    0.000    0.081    0.000 /usr/lib/python3.12/html/parser.py:301(parse_starttag)
    21805    0.013    0.000    0.013    0.000 {method 'match' of 're.Pattern' objects}
        2    0.012    0.006    0.135    0.068 /usr/lib/python3.12/html/parser.py:134(goahead)
     8061    0.006    0.000    0.006    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/element.py:156(setup)
     2547    0.005    0.000    0.008    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/builder/__init__.py:295(_replace_cdata_list_attribute_values)
     2662    0.005    0.000    0.034    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/__init__.py:722(handle_starttag)
     5566    0.005    0.000    0.020    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/__init__.py:586(endData)
     2517    0.005    0.000    0.027    0.000 /usr/lib/python3.12/html/parser.py:379(parse_endtag)
     2663    0.004    0.000    0.015    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/element.py:1199(__init__)
     2662    0.004    0.000    0.040    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:105(handle_starttag)
36660/36652    0.004    0.000    0.005    0.000 {built-in method builtins.isinstance}
    13058    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
     7969    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     2661    0.003    0.000    0.006    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/__init__.py:688(_popToTag)
        1    0.003    0.003    0.003    0.003 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/requests/models.py:909(text)
     2699    0.003    0.000    0.007    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/__init__.py:620(object_was_parsed)
    10623    0.003    0.000    0.005    0.000 /usr/lib/python3.12/_markupbase.py:44(updatepos)
    14473    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
     2663    0.003    0.000    0.003    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/__init__.py:572(pushTag)
 2282/862    0.002    0.000    0.005    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/element.py:2336(_matches)
     2663    0.002    0.000    0.020    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:160(handle_endtag)
     7906    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
    17178    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
    13720    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     2699    0.002    0.000    0.006    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/element.py:943(__new__)
    13897    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
     2662    0.002    0.000    0.002    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/__init__.py:558(popTag)
       19    0.002    0.000    0.111    0.006 {method 'join' of 'bytes' objects}
     1943    0.002    0.000    0.003    0.000 /usr/lib/python3.12/html/__init__.py:91(_replace_charref)
     2662    0.002    0.000    0.006    0.000 /usr/lib/python3.12/html/parser.py:345(check_for_whole_start_tag)
     3382    0.002    0.000    0.010    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/element.py:2303(search)
